Datetime,PM2.5
2015-10-29 01:00:00,46.84
2018-09-09 01:00:00,56.35
2019-12-19 16:00:00,357.22
2017-12-17 10:00:00,105.51
2017-03-22 03:00:00,163.62
2018-01-21 22:00:00,253.74
2015-12-06 02:00:00,222.18
2017-01-22 04:00:00,543.95
2017-09-19 19:00:00,41.35
2018-02-17 02:00:00,138.41
2020-04-20 10:00:00,83.74
2015-09-03 04:00:00,78.96
2017-08-01 16:00:00,18.0
2018-04-28 03:00:00,79.25
2020-05-06 14:00:00,44.87
2020-03-19 19:00:00,58.72
2015-07-27 11:00:00,23.77
2019-01-03 20:00:00,305.99
2015-03-27 21:00:00,62.79
2016-02-14 01:00:00,96.81
2017-03-04 20:00:00,48.75
2016-02-05 03:00:00,48.75
2017-01-18 14:00:00,40.25
2019-11-25 15:00:00,69.62
2019-01-26 01:00:00,32.0
2016-07-22 11:00:00,4.0
2019-01-15 04:00:00,78.2
2018-05-18 01:00:00,30.38
2018-03-05 01:00:00,54.54
2018-04-04 00:00:00,52.8
2017-11-12 23:00:00,53.71
2019-03-07 23:00:00,74.17
2018-06-19 17:00:00,20.46
2020-04-23 09:00:00,23.17
2016-03-12 17:00:00,58.62
2020-02-29 17:00:00,40.4
2020-02-11 04:00:00,31.04
2016-05-28 05:00:00,29.5
2020-01-19 11:00:00,32.6
2017-05-14 19:00:00,37.12
2020-01-06 20:00:00,49.25
2018-04-06 08:00:00,55.85
2019-08-05 21:00:00,9.2
2019-09-20 10:00:00,14.17
2017-12-20 17:00:00,45.04
2017-03-20 06:00:00,81.12
2019-08-06 10:00:00,11.06
2017-02-25 18:00:00,43.12
2018-02-13 04:00:00,37.25
2016-05-09 09:00:00,75.0
2019-06-17 17:00:00,19.58
2017-01-24 15:00:00,50.5
2017-01-28 05:00:00,75.25
2018-05-29 02:00:00,28.71
2015-06-11 22:00:00,27.0
2017-10-13 15:00:00,20.75
2018-03-14 12:00:00,50.42
2020-05-07 01:00:00,21.3
2015-08-08 11:00:00,17.0
2016-10-07 23:00:00,13.5
2019-03-21 14:00:00,33.75
2017-08-07 18:00:00,28.17
2015-07-17 21:00:00,22.0
2017-08-05 01:00:00,23.12
2018-09-30 13:00:00,62.0
2018-10-26 02:00:00,50.2
2016-05-21 05:00:00,22.0
2018-10-30 23:00:00,57.15
2015-11-28 13:00:00,74.0
2017-01-31 15:00:00,35.0
2019-11-03 15:00:00,28.79
2016-02-24 23:00:00,36.88
2019-10-19 18:00:00,22.0
2017-12-06 22:00:00,68.71
2019-01-22 23:00:00,65.75
